CalibBP,F14C,sigma
-59.62,1.057,0.0039
-59.53,1.058,0.0065
-59.45,1.0466,0.0038
-59.37,1.0487,0.0037
-58.62,1.0589,0.0036
-58.53,1.0593,0.0036
-58.45,1.0529,0.0036
-58.37,1.0496,0.005
-57.95,1.0538,0.0056
-57.87,1.057,0.0016
-57.79,1.0586,0.0019
-57.7,1.0593,0.002
-57.62,1.0597,0.0013
-57.53,1.0616,0.0017
-57.45,1.0571,0.0046
-57.37,1.0587,0.0019
-57.28,1.0581,0.0022
-57.2,1.0591,0.0042
-57.12,1.0622,0.004
-57.04,1.0579,0.0021
-56.95,1.061,0.0014
-56.87,1.0651,0.0023
-56.79,1.0649,0.0016
-56.7,1.0648,0.0019
-56.62,1.064,0.0028
-56.53,1.0638,0.0009
-56.45,1.0652,0.003
-56.37,1.0635,0.0039
-56.28,1.0623,0.0051
-56.2,1.061,0.0029
-56.12,1.0629,0.0044
-56.04,1.063,0.0014
-55.95,1.0639,0.0038
-55.87,1.0656,0.0024
-55.79,1.0675,0.0019
-55.7,1.0681,0.0028
-55.62,1.0675,0.0019
-55.53,1.0672,0.0026
-55.45,1.0619,0.0027
-55.37,1.0648,0.0036
-55.28,1.0642,0.0035
-55.2,1.0671,0.0021
-55.12,1.0692,0.0013
-55.04,1.0686,0.0027
-54.95,1.0709,0.0026
-54.87,1.0706,0.0033
-54.79,1.0709,0.002
-54.7,1.073,0.0017
-54.62,1.074,0.0014
-54.53,1.0715,0.0029
-54.45,1.0717,0.0013
-54.37,1.0714,0.0026
-54.28,1.0726,0.0026
-54.2,1.0734,0.0042
-54.12,1.073,0.0028
-54.04,1.0742,0.0048
-53.95,1.0742,0.0017
-53.87,1.0737,0.0018
-53.79,1.0774,0.0026
-53.7,1.0775,0.0023
-53.62,1.0754,0.0029
-53.53,1.0781,0.0036
-53.45,1.0769,0.0015
-53.37,1.0751,0.0051
-53.28,1.0748,0.0021
-53.2,1.0751,0.0038
-53.12,1.0739,0.0042
-53.04,1.0779,0.0046
-52.95,1.0773,0.0029
-52.87,1.0806,0.004
-52.79,1.0808,0.003
-52.7,1.0826,0.0031
-52.62,1.0819,0.0032
-52.53,1.0835,0.0015
-52.45,1.0822,0.0025
-52.37,1.0794,0.0032
-52.28,1.0803,0.0044
-52.2,1.0809,0.0036
-52.12,1.0828,0.0024
-52.04,1.0836,0.0031
-51.95,1.0848,0.0025
-51.87,1.0878,0.002
-51.79,1.088,0.0038
-51.7,1.0891,0.0014
-51.62,1.0888,0.0024
-51.53,1.09,0.0019
-51.45,1.0857,0.0024
-51.37,1.0844,0.0041
-51.28,1.0825,0.0017
-51.2,1.0855,0.0023
-51.12,1.0856,0.0035
-51.04,1.0899,0.0026
-50.95,1.0918,0.0016
-50.87,1.0918,0.0016
-50.79,1.0928,0.0009
-50.7,1.093,0.002
-50.62,1.0941,0.0042
-50.53,1.0941,0.0028
-50.45,1.0928,0.0038
-50.37,1.0926,0.0023
-50.28,1.0913,0.0011
-50.2,1.093,0.0022
-50.12,1.095,0.0023
-50.04,1.0972,0.0036
-49.95,1.0968,0.0025
-49.87,1.0999,0.0038
-49.79,1.103,0.0026
-49.7,1.1012,0.002
-49.62,1.099,0.0024
-49.53,1.1016,0.0029
-49.45,1.099,0.0026
-49.37,1.0973,0.0047
-49.28,1.0984,0.0037
-49.2,1.0989,0.005
-49.12,1.1023,0.0049
-49.04,1.0987,0.0031
-48.95,1.1042,0.002
-48.87,1.1011,0.0029
-48.79,1.1031,0.0016
-48.7,1.1047,0.0038
-48.62,1.1063,0.0023
-48.53,1.1036,0.0042
-48.45,1.1045,0.0019
-48.37,1.1013,0.0037
-48.28,1.1013,0.0018
-48.2,1.1021,0.0017
-48.12,1.1045,0.0009
-48.04,1.1069,0.0014
-47.95,1.1062,0.0027
-47.87,1.1037,0.0015
-47.79,1.107,0.0027
-47.7,1.1073,0.002
-47.62,1.1084,0.0016
-47.53,1.1065,0.0019
-47.45,1.1074,0.002
-47.37,1.1089,0.0014
-47.28,1.1044,0.0043
-47.2,1.1116,0.0018
-47.12,1.1081,0.0029
-47.04,1.1073,0.0012
-46.95,1.1097,0.0014
-46.87,1.1124,0.0015
-46.79,1.1121,0.0023
-46.7,1.1116,0.0013
-46.62,1.1115,0.0034
-46.53,1.1139,0.0019
-46.45,1.113,0.0035
-46.37,1.1115,0.0039
-46.28,1.1094,0.0017
-46.2,1.1118,0.0058
-46.12,1.1106,0.0056
-46.04,1.114,0.003
-45.95,1.1168,0.0049
-45.87,1.1171,0.0033
-45.79,1.1191,0.0055
-45.7,1.1199,0.008
-45.62,1.1184,0.0054
-45.53,1.1208,0.0018
-45.45,1.1186,0.001
-45.37,1.1207,0.0013
-45.28,1.1176,0.0041
-45.2,1.1207,0.0019
-45.12,1.1211,0.0013
-45.04,1.1238,0.003
-44.95,1.1222,0.0048
-44.87,1.1259,0.002
-44.79,1.1239,0.0047
-44.7,1.1271,0.002
-44.62,1.1243,0.0016
-44.53,1.1273,0.0042
-44.45,1.1262,0.0052
-44.37,1.1248,0.0038
-44.28,1.1215,0.0036
-44.2,1.1263,0.0013
-44.12,1.1215,0.0017
-44.04,1.1265,0.0049
-43.95,1.1271,0.0049
-43.87,1.127,0.0079
-43.79,1.1309,0.0019
-43.7,1.132,0.0015
-43.62,1.1307,0.0013
-43.53,1.1317,0.0054
-43.45,1.1331,0.0012
-43.37,1.1347,0.0031
-43.28,1.1309,0.0013
-43.2,1.1314,0.0051
-43.12,1.1343,0.004
-43.04,1.1364,0.0035
-42.95,1.1364,0.0035
-42.87,1.1403,0.0021
-42.79,1.1397,0.0025
-42.7,1.1419,0.0023
-42.62,1.1423,0.0033
-42.53,1.1406,0.0017
-42.45,1.1418,0.0027
-42.37,1.1405,0.0051
-42.28,1.1402,0.0048
-42.2,1.1393,0.008
-42.12,1.1361,0.0056
-42.04,1.1415,0.0039
-41.95,1.1456,0.0051
-41.87,1.144,0.0029
-41.79,1.1426,0.0039
-41.7,1.1511,0.0052
-41.62,1.1493,0.005
-41.53,1.1471,0.0033
-41.45,1.1484,0.0044
-41.37,1.1447,0.0036
-41.28,1.1448,0.0036
-41.2,1.1433,0.0053
-41.12,1.1457,0.0037
-41.04,1.1469,0.002
-40.95,1.1471,0.0058
-40.87,1.1521,0.0089
-40.79,1.1586,0.004
-40.7,1.1582,0.004
-40.62,1.1548,0.005
-40.53,1.1582,0.0052
-40.45,1.1587,0.0035
-40.37,1.153,0.0036
-40.28,1.1537,0.0024
-40.2,1.1575,0.0025
-40.12,1.1606,0.0034
-40.04,1.1622,0.0036
-39.95,1.1606,0.0063
-39.87,1.1636,0.005
-39.79,1.1672,0.0049
-39.7,1.1678,0.0017
-39.62,1.1695,0.0042
-39.53,1.1659,0.0079
-39.45,1.1689,0.0021
-39.37,1.1688,0.0041
-39.28,1.1647,0.0034
-39.2,1.1683,0.0018
-39.12,1.1722,0.0037
-39.04,1.1748,0.0015
-38.95,1.1711,0.0042
-38.87,1.1667,0.005
-38.79,1.177,0.0038
-38.7,1.1755,0.0047
-38.62,1.1806,0.0058
-38.53,1.179,0.0057
-38.45,1.1779,0.0025
-38.37,1.1745,0.0045
-38.28,1.1731,0.0027
-38.2,1.1789,0.002
-38.12,1.1757,0.0023
-38.04,1.1828,0.0017
