Site,Date,DOC_mg_L
Noto,03/05/2017,16.2
Noto,06/05/2017,15.8
Noto,10/05/2017,17.6
Noto,24/05/2017,18.5
Noto,01/06/2017,18.3
Noto,07/06/2017,18
Noto,29/06/2017,22
Noto,07/07/2017,21.1
Noto,27/07/2017,25.7
Noto,30/08/2017,25.2
Noto,11/09/2017,25.2
Noto,04/10/2017,24.9
SC,02/05/2017,13.7
SC,05/05/2017,16.6
SC,10/05/2017,20.9
SC,24/05/2017,17.45
SC,01/06/2017,16.5
SC,07/06/2017,18.2
SC,29/06/2017,21
SC,07/07/2017,20.4
SC,27/07/2017,19.65
SC,30/08/2017,22.3
SC,09/09/2017,21.2
SC,05/10/2017,20.75
